Steel armour
Upgrading your armour plates to steel results it a 50% health boost! 1.5x Max Health||
False 0
False 0
False 0
False 0
1
False 0
False 0
False 0
False 0
False 0
True 1.51
False 0
False 0
False 0
False
HealthIcon.png
3
365

Longer barrel
You extend your barrel length to increase muzzle velocity. 1.5x Projectile Speed||
False 0
False 0
False 0
False 0
1
True 1.5
False 0
False 0
False 0
False 0
False 0
False 0
False 0
False 0
False
ShotSpeedIcon.png
0
348

Overengineered amunition
Upgrade your ammo to APHEFSDSHEATHECBChttps://youtu.be/e7F0f0VWJnQ?t=47Armor Peircing High Explosive Fin StabilizedDiscarding Sabot HighExplosive Anti Tank High Explosive Capped Ballistic Capped2x Damage||
True 2
False 0
False 0
False 0
1.3
False 0
False 0
False 0
False 0
False 0
False 0
False 0
False 0
False 0
False
DmgIcon.png
10
1000

Advanced Hydraulics
You upgrade your ride and gain an extra jump!||
False 0
False 0
False 0
False 0
0
False 0
False 0
False 0
False 0
False 0
False 0
False 0
False 0
False 0
True
JumpUpgradeIcon.png
1
1000

Heat Seaking Bullets
Your bullets now home to the closest enemy.||
False 0
False 0
False 0
False 0
1
False 0
True 1.2
False 0
False 0
False 0
False 0
False 0
False 0
False 0
False
HomingIcon.png
1
400
|||
